created_user,created_date,last_edited_user,last_edited_date,OBJECTID,ED_NUM,ED_NAME,PRECINCT,LEGIS_DIST,POLL_NAME,POLL_TYPE,POLL_ADDRE,CITY,ZIP_CODE,CONG_DIST,COUNCIL_DIST,GOOGLINK,GlobalID,ShapeSTArea,ShapeSTLength
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:28+00,2089,20,LEWISTOWN,20-001,04,Lewistown Elementary School,School,11119 Hessong Bridge Road,Thurmont,21788,6,5,"https://www.google.com/maps/place/39.539393200806,-77.4144835098404",{0B456D63-4972-4959-9EF3-35F5A0DF8B44},845687918.346234,129372.418659059
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:18+00,2090,26,WALKERSVILLE,26-002,04,Walkersville High School,School,81 Frederick Street,Walkersville,21793,6,5,"https://www.google.com/maps/place/39.4759383801593,-77.3611256297659",{B5F6701A-88FD-435A-BC0D-929D4B715B0C},191898117.971453,73961.531594743
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:19+00,2091,26,WALKERSVILLE,26-001,04,Walkersville Middle School,School,55 Frederick Street,Walkersville,21793,6,5,"https://www.google.com/maps/place/39.4802309321805,-77.3544081220793",{42DCCC6F-17A0-4EF2-83D4-97CEDD1A9ACE},197720161.341372,78569.6501408683
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:20+00,2092,2,FREDERICK,02-010,03,Monocacy Middle School,School,8009 Opposumtown Pike,Frederick,21702,6,3,"https://www.google.com/maps/place/39.4541874815729,-77.4133229159119",{699493AB-EC49-4ED1-836E-E410220F2714},60992381.6313513,45132.6622209593
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:58+00,2093,2,FREDERICK,02-015,03,Monocacy Elementary School,School,7421 Hayward Drive,Frederick,21703,6,4,"https://www.google.com/maps/place/39.4550096142295,-77.4103296802547",{F2349B8D-EC1D-494D-9F8E-268CEB4150BC},56535210.5846049,42745.4767445983
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:07+00,2094,24,BRADDOCK,24-002,03,Waverley Elementary School A - Cafeteria,School,201 Waverley Drive,Frederick,21702,6,3,"https://www.google.com/maps/place/39.4278856169454,-77.4613549326603",{99D5437D-29D2-46E2-AD21-1F5ADE046F53},84677373.3971556,64262.9115409803
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:13+00,2095,24,BRADDOCK,24-001,04,Braddock Heights Community Center,Community Center,4834 Schley Avenue,Braddock Heights,21714,6,1,"https://www.google.com/maps/place/39.4202718346859,-77.5020113734096",{EDEAA1D0-2C10-4B8F-89FF-33E44972FB0B},154937690.657809,72974.024535051
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:50+00,2096,2,FREDERICK,02-007,03,Governor Thomas Johnson Middle School Cafeteria,School,1799 Schifferstadt Blvd,Frederick,21701,6,4,"https://www.google.com/maps/place/39.4370188990025,-77.397544957428",{5037AA3B-C74F-46F5-81E8-277911552307},46611082.7272977,36615.739597714
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:19+00,2097,2,FREDERICK,02-008,03,Waverley Elementary School A - Cafeteria,School,201 Waverley Drive,Frederick,21702,6,3,"https://www.google.com/maps/place/39.4278856169454,-77.4613549326603",{A51899F7-2D68-4E50-BF14-AB8D12071CA5},56797729.8024263,40464.7408059419
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:50+00,2098,2,FREDERICK,02-011,03,North Frederick Elementary School,School,1010 Fairview Avenue,Frederick,21701,6,4,"https://www.google.com/maps/place/39.4291147901426,-77.4124514603154",{74753D25-D461-43FF-802D-B3DF31638979},27794400.8177113,32957.8878987291
