"precinct","candidate","votes"
"01-001","Chad King Wilson, Sr. (10072072.0001530)",762
"01-001","Colt Morningstar Black (10072072.0001100)",829
"01-001","Jaime Kiersten Brennan (10072072.0001390)",906
"01-001","Janie Monier (10072072.0001460)",884
"01-001","Josh Bokee (10072072.0001150)",853
"01-001","Veronica D. Lowe (10072072.0002200)",599
"01-001","or write-in:",60
"01-001","overvote",3
"01-001","undervote",1394
"01-001",NA,366
"01-002","Chad King Wilson, Sr. (10072072.0001530)",1318
"01-002","Colt Morningstar Black (10072072.0001100)",994
"01-002","Jaime Kiersten Brennan (10072072.0001390)",1157
"01-002","Janie Monier (10072072.0001460)",1419
"01-002","Josh Bokee (10072072.0001150)",1369
"01-002","Veronica D. Lowe (10072072.0002200)",1302
"01-002","or write-in:",90
"01-002","overvote",6
"01-002","undervote",1481
"01-002",NA,314
"01-003","Chad King Wilson, Sr. (10072072.0001530)",482
"01-003","Colt Morningstar Black (10072072.0001100)",569
"01-003","Jaime Kiersten Brennan (10072072.0001390)",605
"01-003","Janie Monier (10072072.0001460)",563
"01-003","Josh Bokee (10072072.0001150)",530
"01-003","Veronica D. Lowe (10072072.0002200)",365
"01-003","or write-in:",52
"01-003","overvote",2
"01-003","undervote",586
"01-003",NA,287
"02-001","Chad King Wilson, Sr. (10072072.0001530)",868
"02-001","Colt Morningstar Black (10072072.0001100)",427
"02-001","Jaime Kiersten Brennan (10072072.0001390)",577
"02-001","Janie Monier (10072072.0001460)",901
"02-001","Josh Bokee (10072072.0001150)",950
"02-001","Veronica D. Lowe (10072072.0002200)",849
"02-001","or write-in:",19
"02-001","overvote",6
"02-001","undervote",942
"02-001",NA,102
"02-002","Chad King Wilson, Sr. (10072072.0001530)",411
"02-002","Colt Morningstar Black (10072072.0001100)",187
"02-002","Jaime Kiersten Brennan (10072072.0001390)",211
"02-002","Janie Monier (10072072.0001460)",439
"02-002","Josh Bokee (10072072.0001150)",462
"02-002","Veronica D. Lowe (10072072.0002200)",278
"02-002","or write-in:",4
"02-002","overvote",1
"02-002","undervote",315
"02-002",NA,60
"02-003","Chad King Wilson, Sr. (10072072.0001530)",1168
"02-003","Colt Morningstar Black (10072072.0001100)",540
"02-003","Jaime Kiersten Brennan (10072072.0001390)",630
"02-003","Janie Monier (10072072.0001460)",1304
"02-003","Josh Bokee (10072072.0001150)",1382
"02-003","Veronica D. Lowe (10072072.0002200)",709
"02-003","or write-in:",20
"02-003","overvote",8
"02-003","undervote",1028
"02-003",NA,130
"02-004","Chad King Wilson, Sr. (10072072.0001530)",1003
"02-004","Colt Morningstar Black (10072072.0001100)",818
"02-004","Jaime Kiersten Brennan (10072072.0001390)",873
"02-004","Janie Monier (10072072.0001460)",1104
"02-004","Josh Bokee (10072072.0001150)",1068
"02-004","Veronica D. Lowe (10072072.0002200)",1249
"02-004","or write-in:",22
"02-004","overvote",5
"02-004","undervote",1339
"02-004",NA,178
"02-005","Chad King Wilson, Sr. (10072072.0001530)",1624
"02-005","Colt Morningstar Black (10072072.0001100)",586
"02-005","Jaime Kiersten Brennan (10072072.0001390)",674
"02-005","Janie Monier (10072072.0001460)",1753
"02-005","Josh Bokee (10072072.0001150)",1885
"02-005","Veronica D. Lowe (10072072.0002200)",793
"02-005","or write-in:",27
"02-005","overvote",5
"02-005","undervote",1050
"02-005",NA,169
"02-006","Chad King Wilson, Sr. (10072072.0001530)",658
"02-006","Colt Morningstar Black (10072072.0001100)",647
"02-006","Jaime Kiersten Brennan (10072072.0001390)",779
"02-006","Janie Monier (10072072.0001460)",764
"02-006","Josh Bokee (10072072.0001150)",730
"02-006","Veronica D. Lowe (10072072.0002200)",686
"02-006","or write-in:",56
"02-006","overvote",4
"02-006","undervote",824
"02-006",NA,201
"02-007","Chad King Wilson, Sr. (10072072.0001530)",1341
"02-007","Colt Morningstar Black (10072072.0001100)",746
"02-007","Jaime Kiersten Brennan (10072072.0001390)",852
"02-007","Janie Monier (10072072.0001460)",1493
"02-007","Josh Bokee (10072072.0001150)",1523
"02-007","Veronica D. Lowe (10072072.0002200)",1044
"02-007","or write-in:",42
"02-007","overvote",9
"02-007","undervote",1307
"02-007",NA,200
"02-008","Chad King Wilson, Sr. (10072072.0001530)",1113
"02-008","Colt Morningstar Black (10072072.0001100)",823
"02-008","Jaime Kiersten Brennan (10072072.0001390)",883
"02-008","Janie Monier (10072072.0001460)",1153
"02-008","Josh Bokee (10072072.0001150)",1237
"02-008","Veronica D. Lowe (10072072.0002200)",1204
"02-008","or write-in:",43
"02-008","overvote",7
"02-008","undervote",1251
"02-008",NA,206
"02-010","Chad King Wilson, Sr. (10072072.0001530)",1263
"02-010","Colt Morningstar Black (10072072.0001100)",952
"02-010","Jaime Kiersten Brennan (10072072.0001390)",1131
"02-010","Janie Monier (10072072.0001460)",1364
"02-010","Josh Bokee (10072072.0001150)",1413
"02-010","Veronica D. Lowe (10072072.0002200)",1202
"02-010","or write-in:",67
"02-010","overvote",11
"02-010","undervote",1361
"02-010",NA,328
"02-011","Chad King Wilson, Sr. (10072072.0001530)",840
"02-011","Colt Morningstar Black (10072072.0001100)",493
"02-011","Jaime Kiersten Brennan (10072072.0001390)",562
"02-011","Janie Monier (10072072.0001460)",872
"02-011","Josh Bokee (10072072.0001150)",917
"02-011","Veronica D. Lowe (10072072.0002200)",634
"02-011","or write-in:",29
"02-011","overvote",4
"02-011","undervote",804
"02-011",NA,106
"02-013","Chad King Wilson, Sr. (10072072.0001530)",1394
"02-013","Colt Morningstar Black (10072072.0001100)",934
"02-013","Jaime Kiersten Brennan (10072072.0001390)",1112
"02-013","Janie Monier (10072072.0001460)",1481
"02-013","Josh Bokee (10072072.0001150)",1511
"02-013","Veronica D. Lowe (10072072.0002200)",1746
"02-013","or write-in:",54
"02-013","overvote",5
"02-013","undervote",1588
"02-013",NA,210
"02-014","Chad King Wilson, Sr. (10072072.0001530)",743
"02-014","Colt Morningstar Black (10072072.0001100)",527
"02-014","Jaime Kiersten Brennan (10072072.0001390)",633
"02-014","Janie Monier (10072072.0001460)",813
"02-014","Josh Bokee (10072072.0001150)",793
"02-014","Veronica D. Lowe (10072072.0002200)",675
"02-014","or write-in:",29
"02-014","overvote",3
"02-014","undervote",809
"02-014",NA,143
"02-015","Chad King Wilson, Sr. (10072072.0001530)",1571
"02-015","Colt Morningstar Black (10072072.0001100)",1080
"02-015","Jaime Kiersten Brennan (10072072.0001390)",1237
"02-015","Janie Monier (10072072.0001460)",1768
"02-015","Josh Bokee (10072072.0001150)",1718
"02-015","Veronica D. Lowe (10072072.0002200)",1316
"02-015","or write-in:",62
"02-015","overvote",8
"02-015","undervote",1637
"02-015",NA,319
"02-016","Chad King Wilson, Sr. (10072072.0001530)",486
"02-016","Colt Morningstar Black (10072072.0001100)",335
"02-016","Jaime Kiersten Brennan (10072072.0001390)",412
"02-016","Janie Monier (10072072.0001460)",509
"02-016","Josh Bokee (10072072.0001150)",497
"02-016","Veronica D. Lowe (10072072.0002200)",576
"02-016","or write-in:",22
"02-016","overvote",1
"02-016","undervote",638
"02-016",NA,74
"02-018","Chad King Wilson, Sr. (10072072.0001530)",574
