"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"01-001","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",906,884,853,829,762,599,"*","^","^","*","^","^",4833,19,18,18,17,16,12
"01-002","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1419,1369,1318,1302,1157,994,"^","^","^","^","*","*",7559,19,18,17,17,15,13
"01-003","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",605,569,563,530,482,365,"*","*","^","^","^","^",3114,19,18,18,17,15,12
"02-001","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",950,901,868,849,577,427,"^","^","^","^","*","*",4572,21,20,19,19,13,9
"02-002","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",462,439,411,278,211,187,"^","^","^","^","*","*",1988,23,22,21,14,11,9
"02-003","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1382,1304,1168,709,630,540,"^","^","^","^","*","*",5733,24,23,20,12,11,9
"02-004","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1249,1104,1068,1003,873,818,"^","^","^","^","*","*",6115,20,18,17,16,14,13
"02-005","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1885,1753,1624,793,674,586,"^","^","^","^","*","*",7315,26,24,22,11,9,8
"02-006","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.","Colt Morningstar Black",779,764,730,686,658,647,"*","^","^","^","^","*",4264,18,18,17,16,15,15
"02-007","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1523,1493,1341,1044,852,746,"^","^","^","^","*","*",6999,22,21,19,15,12,11
"02-008","Josh Bokee","Veronica D. Lowe","Janie Monier","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1237,1204,1153,1113,883,823,"^","^","^","^","*","*",6413,19,19,18,17,14,13
"02-010","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1413,1364,1263,1202,1131,952,"^","^","^","^","*","*",7325,19,19,17,16,15,13
"02-011","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",917,872,840,634,562,493,"^","^","^","^","*","*",4318,21,20,19,15,13,11
"02-013","Veronica D. Lowe","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1746,1511,1481,1394,1112,934,"^","^","^","^","*","*",8178,21,18,18,17,14,11
"02-014","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",813,793,743,675,633,527,"^","^","^","^","*","*",4184,19,19,18,16,15,13
"02-015","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1768,1718,1571,1316,1237,1080,"^","^","^","^","*","*",8690,20,20,18,15,14,12
"02-016","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",576,509,497,486,412,335,"^","^","^","^","*","*",2815,20,18,18,17,15,12
"02-018","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",635,578,574,536,470,367,"^","^","^","^","*","*",3160,20,18,18,17,15,12
"03-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1485,1468,1267,1197,1158,760,"*","*","^","^","^","^",7335,20,20,17,16,16,10
"03-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1247,1230,1038,989,911,536,"*","*","^","^","^","^",5951,21,21,17,17,15,9
"04-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",385,334,162,157,134,119,"*","*","^","^","^","^",1291,30,26,13,12,10,9
"05-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",1279,1027,620,607,569,526,"*","*","^","^","^","^",4628,28,22,13,13,12,11
"05-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",154,128,55,54,48,44,"*","*","^","^","^","^",483,32,27,11,11,10,9
