precinct,candidate_1,votes_1,percent_votes_1,candidate_2,votes_2,percent_votes_2,candidate_3,votes_3,percent_votes_3,candidate_4,votes_4,percent_votes_4,candidate_5,votes_5,percent_votes_5,candidate_6,votes_6,percent_votes_6
01-001,Jaime Kiersten Brennan,906,19,Janie Monier,884,18,Josh Bokee,853,18,Colt Morningstar Black,829,17,"Chad King Wilson, Sr.",762,16,Veronica D. Lowe,599,12
01-002,Janie Monier,1419,19,Josh Bokee,1369,18,"Chad King Wilson, Sr.",1318,17,Veronica D. Lowe,1302,17,Jaime Kiersten Brennan,1157,15,Colt Morningstar Black,994,13
01-003,Jaime Kiersten Brennan,605,19,Colt Morningstar Black,569,18,Janie Monier,563,18,Josh Bokee,530,17,"Chad King Wilson, Sr.",482,15,Veronica D. Lowe,365,12
02-001,Josh Bokee,950,21,Janie Monier,901,20,"Chad King Wilson, Sr.",868,19,Veronica D. Lowe,849,19,Jaime Kiersten Brennan,577,13,Colt Morningstar Black,427,9
02-002,Josh Bokee,462,23,Janie Monier,439,22,"Chad King Wilson, Sr.",411,21,Veronica D. Lowe,278,14,Jaime Kiersten Brennan,211,11,Colt Morningstar Black,187,9
02-003,Josh Bokee,1382,24,Janie Monier,1304,23,"Chad King Wilson, Sr.",1168,20,Veronica D. Lowe,709,12,Jaime Kiersten Brennan,630,11,Colt Morningstar Black,540,9
02-004,Veronica D. Lowe,1249,20,Janie Monier,1104,18,Josh Bokee,1068,17,"Chad King Wilson, Sr.",1003,16,Jaime Kiersten Brennan,873,14,Colt Morningstar Black,818,13
02-005,Josh Bokee,1885,26,Janie Monier,1753,24,"Chad King Wilson, Sr.",1624,22,Veronica D. Lowe,793,11,Jaime Kiersten Brennan,674,9,Colt Morningstar Black,586,8
02-006,Jaime Kiersten Brennan,779,18,Janie Monier,764,18,Josh Bokee,730,17,Veronica D. Lowe,686,16,"Chad King Wilson, Sr.",658,15,Colt Morningstar Black,647,15
02-007,Josh Bokee,1523,22,Janie Monier,1493,21,"Chad King Wilson, Sr.",1341,19,Veronica D. Lowe,1044,15,Jaime Kiersten Brennan,852,12,Colt Morningstar Black,746,11
02-008,Josh Bokee,1237,19,Veronica D. Lowe,1204,19,Janie Monier,1153,18,"Chad King Wilson, Sr.",1113,17,Jaime Kiersten Brennan,883,14,Colt Morningstar Black,823,13
02-010,Josh Bokee,1413,19,Janie Monier,1364,19,"Chad King Wilson, Sr.",1263,17,Veronica D. Lowe,1202,16,Jaime Kiersten Brennan,1131,15,Colt Morningstar Black,952,13
02-011,Josh Bokee,917,21,Janie Monier,872,20,"Chad King Wilson, Sr.",840,19,Veronica D. Lowe,634,15,Jaime Kiersten Brennan,562,13,Colt Morningstar Black,493,11
02-013,Veronica D. Lowe,1746,21,Josh Bokee,1511,18,Janie Monier,1481,18,"Chad King Wilson, Sr.",1394,17,Jaime Kiersten Brennan,1112,14,Colt Morningstar Black,934,11
02-014,Janie Monier,813,19,Josh Bokee,793,19,"Chad King Wilson, Sr.",743,18,Veronica D. Lowe,675,16,Jaime Kiersten Brennan,633,15,Colt Morningstar Black,527,13
02-015,Janie Monier,1768,20,Josh Bokee,1718,20,"Chad King Wilson, Sr.",1571,18,Veronica D. Lowe,1316,15,Jaime Kiersten Brennan,1237,14,Colt Morningstar Black,1080,12
02-016,Veronica D. Lowe,576,20,Janie Monier,509,18,Josh Bokee,497,18,"Chad King Wilson, Sr.",486,17,Jaime Kiersten Brennan,412,15,Colt Morningstar Black,335,12
02-018,Janie Monier,635,20,Josh Bokee,578,18,"Chad King Wilson, Sr.",574,18,Veronica D. Lowe,536,17,Jaime Kiersten Brennan,470,15,Colt Morningstar Black,367,12
03-001,Colt Morningstar Black,1485,20,Jaime Kiersten Brennan,1468,20,Janie Monier,1267,17,Josh Bokee,1197,16,"Chad King Wilson, Sr.",1158,16,Veronica D. Lowe,760,10
03-002,Colt Morningstar Black,1247,21,Jaime Kiersten Brennan,1230,21,Janie Monier,1038,17,Josh Bokee,989,17,"Chad King Wilson, Sr.",911,15,Veronica D. Lowe,536,9
04-001,Colt Morningstar Black,385,30,Jaime Kiersten Brennan,334,26,Janie Monier,162,13,Josh Bokee,157,12,"Chad King Wilson, Sr.",134,10,Veronica D. Lowe,119,9
05-001,Colt Morningstar Black,1279,28,Jaime Kiersten Brennan,1027,22,Janie Monier,620,13,Josh Bokee,607,13,Veronica D. Lowe,569,12,"Chad King Wilson, Sr.",526,11
05-002,Colt Morningstar Black,154,32,Jaime Kiersten Brennan,128,27,Janie Monier,55,11,Josh Bokee,54,11,Veronica D. Lowe,48,10,"Chad King Wilson, Sr.",44,9
06-001,Colt Morningstar Black,812,31,Jaime Kiersten Brennan,704,27,Josh Bokee,321,12,Janie Monier,312,12,"Chad King Wilson, Sr.",273,10,Veronica D. Lowe,230,9
07-001,Janie Monier,999,19,Jaime Kiersten Brennan,946,18,Josh Bokee,893,17,Colt Morningstar Black,887,17,"Chad King Wilson, Sr.",816,16,Veronica D. Lowe,715,14
07-002,Janie Monier,1608,20,Josh Bokee,1500,19,"Chad King Wilson, Sr.",1396,17,Jaime Kiersten Brennan,1301,16,Colt Morningstar Black,1126,14,Veronica D. Lowe,1119,14
07-003,Colt Morningstar Black,877,19,Jaime Kiersten Brennan,847,19,Janie Monier,825,18,Josh Bokee,772,17,"Chad King Wilson, Sr.",708,16,Veronica D. Lowe,491,11
07-004,Janie Monier,944,20,Josh Bokee,823,18,"Chad King Wilson, Sr.",774,17,Jaime Kiersten Brennan,750,16,Colt Morningstar Black,670,15,Veronica D. Lowe,644,14
07-007,Janie Monier,413,20,"Chad King Wilson, Sr.",364,17,Josh Bokee,353,17,Jaime Kiersten Brennan,336,16,Veronica D. Lowe,317,15,Colt Morningstar Black,313,15
08-001,Colt Morningstar Black,772,27,Jaime Kiersten Brennan,709,25,Janie Monier,400,14,"Chad King Wilson, Sr.",356,12,Josh Bokee,351,12,Veronica D. Lowe,304,11
09-001,Jaime Kiersten Brennan,1054,20,Colt Morningstar Black,1014,19,Janie Monier,1001,19,Josh Bokee,860,16,"Chad King Wilson, Sr.",815,15,Veronica D. Lowe,560,11
09-002,Jaime Kiersten Brennan,1734,21,Colt Morningstar Black,1652,20,Janie Monier,1412,17,Josh Bokee,1283,15,"Chad King Wilson, Sr.",1165,14,Veronica D. Lowe,1049,13
09-003,Janie Monier,823,19,Josh Bokee,793,18,Jaime Kiersten Brennan,738,17,"Chad King Wilson, Sr.",736,17,Colt Morningstar Black,693,16,Veronica D. Lowe,644,15
09-004,Jaime Kiersten Brennan,1216,22,Colt Morningstar Black,1202,22,Janie Monier,927,17,Josh Bokee,865,15,"Chad King Wilson, Sr.",775,14,Veronica D. Lowe,604,11
09-005,Colt Morningstar Black,506,19,Jaime Kiersten Brennan,505,19,Janie Monier,488,19,Josh Bokee,443,17,"Chad King Wilson, Sr.",419,16,Veronica D. Lowe,273,10
09-006,Janie Monier,1585,19,Josh Bokee,1483,18,Jaime Kiersten Brennan,1368,17,"Chad King Wilson, Sr.",1331,16,Colt Morningstar Black,1282,16,Veronica D. Lowe,1093,13
09-007,Jaime Kiersten Brennan,1774,19,Janie Monier,1736,18,Colt Morningstar Black,1662,18,Josh Bokee,1631,17,"Chad King Wilson, Sr.",1496,16,Veronica D. Lowe,1118,12
