"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"01-001","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",906,884,853,829,762,599,"republican","democrat","democrat","republican","democrat","democrat",4833,18.7461204220981,18.290916614939,17.6494930684875,17.1529070970412,15.7666045934202,12.3939582040141
"01-002","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1419,1369,1318,1302,1157,994,"democrat","democrat","democrat","democrat","republican","republican",7559,18.7723243815319,18.1108612250298,17.4361688053975,17.2245005953168,15.3062574414605,13.1498875512634
"01-003","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",605,569,563,530,482,365,"republican","republican","democrat","democrat","democrat","democrat",3114,19.4283879254978,18.2723185613359,18.0796403339756,17.0199100834939,15.4784842646114,11.7212588310854
"02-001","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",950,901,868,849,577,427,"democrat","democrat","democrat","democrat","republican","republican",4572,20.7786526684164,19.7069116360455,18.9851268591426,18.5695538057743,12.6202974628171,9.33945756780402
"02-002","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",462,439,411,278,211,187,"democrat","democrat","democrat","democrat","republican","republican",1988,23.2394366197183,22.0824949698189,20.6740442655936,13.9839034205231,10.6136820925553,9.40643863179075
"02-003","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1382,1304,1168,709,630,540,"democrat","democrat","democrat","democrat","republican","republican",5733,24.1060526774812,22.7455084597942,20.3732775161347,12.3669980812838,10.989010989011,9.41915227629513
"02-004","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1249,1104,1068,1003,873,818,"democrat","democrat","democrat","democrat","republican","republican",6115,20.4251839738348,18.0539656582175,17.4652493867539,16.4022894521668,14.2763695829926,13.3769419460343
"02-005","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1885,1753,1624,793,674,586,"democrat","democrat","democrat","democrat","republican","republican",7315,25.768967874231,23.9644565960355,22.200956937799,10.8407382091593,9.21394395078606,8.01093643198906
"02-006","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.","Colt Morningstar Black",779,764,730,686,658,647,"republican","democrat","democrat","democrat","democrat","republican",4264,18.2692307692308,17.9174484052533,17.1200750469043,16.0881801125704,15.4315196998124,15.1735459662289
"02-007","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1523,1493,1341,1044,852,746,"democrat","democrat","democrat","democrat","republican","republican",6999,21.7602514644949,21.3316188026861,19.1598799828547,14.9164166309473,12.1731675953708,10.6586655236462
